车型,销售时间,销量,最低售价,最高售价
雷凌,2020-9-1 0:0:0,46493,113800.00000000001,152800.0
雅阁,2020-9-1 0:0:0,46489,179800.0,259800.0
长安CS75 PLUS,2020-9-1 0:0:0,46011,106900.0,154900.0
博越,2020-9-1 0:0:0,45987,89800.0,146800.0
宏光MINIEV,2020-9-1 0:0:0,43912,28800.0,43600.0
帝豪,2020-9-1 0:0:0,41336,62800.0,91800.0
探岳,2020-9-1 0:0:0,37930,186900.0,264900.0
迈腾,2020-9-1 0:0:0,37568,186900.0,309900.0
思域,2020-9-1 0:0:0,36999,119900.0,169899.99999999997
逍客,2020-9-1 0:0:0,36404,154900.0,188900.0
途观L,2020-9-1 0:0:0,35709,215799.99999999997,285800.0
本田XR-V,2020-9-1 0:0:0,35101,127899.99999999999,175900.0
凯美瑞,2020-9-1 0:0:0,34982,179800.0,279800.0
